"id","q1","q2","q3","q4","q5","q6","q7","q8","mbti","time"
"42","A","A","B","A","A","A","A","B","ISTJ","2025-03-11 13:07:01"
"43","B","A","B","A","A","A","B","A","ISFP","2025-03-11 13:27:10"
"44","A","B","B","B","A","A","B","A","ENFP","2025-03-11 13:38:22"
"45","A","A","A","A","B","B","A","A","ISTP","2025-03-11 13:52:15"
"46","B","A","A","A","B","B","A","A","ISFJ","2025-03-11 13:55:33"
"47","A","A","A","A","B","A","B","A","ISTJ","2025-03-11 13:59:35"
"48","A","B","A","B","A","A","B","B","ESFJ","2025-03-11 14:01:30"
"49","B","B","B","B","B","B","B","B","INFJ","2025-03-11 14:15:14"
"50","A","A","B","B","A","A","A","A","INFJ","2025-03-11 14:20:27"
"51","A","A","A","A","A","A","A","A","ESTJ","2025-03-11 14:21:44"
"52","B","B","B","A","B","B","A","B","ENTJ","2025-03-11 14:25:05"
"53","A","A","B","B","B","A","A","A","ESFP","2025-03-11 14:25:07"
"54","A","A","B","A","A","A","A","B","ENFJ","2025-03-11 14:33:50"
"55","A","A","B","B","A","A","B","B","ENFJ","2025-03-11 14:38:48"
"56","A","B","A","B","B","B","B","B","INFJ","2025-03-11 14:50:42"
"57","A","B","B","A","A","B","B","A","ISFP","2025-03-11 14:54:19"
"58","A",NULL,NULL,NULL,NULL,NULL,"B","B","INFP","2025-03-11 15:17:31"
"59","B","B","B","B","B","B","B","A","ENTP","2025-03-11 15:18:31"
"60","A","A","A","A","A","B","B","B","ISTJ","2025-03-11 15:22:12"
"61","A","A","A","A","A","A","A","A","ISTP","2025-03-11 15:23:50"
"62","A",NULL,NULL,NULL,NULL,"B","B","A","ESFJ","2025-03-11 15:35:31"
"63","A","A","B","A","A","A","B","B","ISFP","2025-03-11 15:36:41"
"64","A","A","B","B","B","B","B","B","ESTP","2025-03-11 15:48:36"
"65","A","A","B","A","A","A","A","A","ISTP","2025-03-11 16:07:27"
"66","A","B","B","A","A","A","A","A","INFP","2025-03-11 16:18:56"
"67","B","A","A","A","A","A","A","A","ISTP","2025-03-11 16:21:53"
"68","A","A","B","A","A","A","B","B","ESTJ","2025-03-11 16:27:21"
"69","A","A","B","B","B","B","B","B","ESTP","2025-03-11 16:33:52"
"70","B","A","A","A","A","A","A","B","ENTJ","2025-03-11 16:42:49"
"71","A","B","B","A","B","A","B","A","ESTP","2025-03-11 16:50:55"
"72","B","A","A","A","A","A","B","B","ISFJ","2025-03-11 17:55:46"
"73","A","B","B","B","A","B","B","A","ENFP","2025-03-11 22:06:02"
"74","A","A","B","B","A","A","B","A","ESTP","2025-03-11 22:08:21"
"75","A","B","A","B","A","A","A","A","ENFJ","2025-03-12 09:37:55"
"76","B","A","B","A","A","A","B","A","ISFJ","2025-03-12 09:39:48"
"77","B","A","A","A","B","A","B","A","ISFJ","2025-03-12 10:31:58"
"78","A","A","B","B","A","A","A","A","ESTP","2025-03-12 10:36:26"
"79","A","A","A","B","A","B","B","A","ESTJ","2025-03-12 10:40:50"
"80","A","A","A","B","A","B","A","B","ESTJ","2025-03-12 11:10:55"
"81","A","A","B","B","A","B","B","B","ESTP","2025-03-12 11:18:04"
"82","A","A","A","A","A","A","A","A","ISTJ","2025-03-12 11:28:04"
"83","B","B","B","B","A","B","B","A","ENTP","2025-03-12 11:33:03"
"84","B","A","B","B","B","B","B","B","ESFP","2025-03-12 11:34:13"
"85","A","B","B","A","B","B","B","B","INFP","2025-03-12 11:37:39"
"86","B","A","A","B","B","B","B","B","ESFJ","2025-03-12 11:46:13"
"87","A","A","A","A","A","B","A","B","ISTP","2025-03-12 11:50:25"
"88","A","B","B","A","B","B","B","B","INFP","2025-03-12 11:57:34"
"89","B","B","A","A","B","B","A","B","ESTP","2025-03-12 11:59:35"
"90","A","A","B","A","A","B","B","A","ISTP","2025-03-12 12:07:18"
"91","A","B","B","B","A","B","B","B","ISTJ","2025-03-12 12:08:32"
"92","A","A","B","A","B","B","B","A","ISTP","2025-03-12 12:38:06"
"93","A","B","B","A","A","A","B","B","ESTJ","2025-03-12 12:48:01"
"94","A","A","B","A","B","A","B","A","ENTJ","2025-03-12 13:10:11"
"95","A","B","B","A","B","A","A","A","INFP","2025-03-12 13:16:00"
"96","A","B","A","B","A","A","B","B","ISFJ","2025-03-12 14:40:02"
"97","A","A","B","B","A","A","B","B","ESTP","2025-03-12 15:28:41"
"98","A","A","B","B","B","A","B","B","ESTP","2025-03-12 15:44:51"
"99","B","A","A","B","A","A","A","A","ESFJ","2025-03-12 19:48:14"
"100","A","B","A","B","B","A","A","A","ENFJ","2025-03-14 12:45:27"
"101","A","A","A","A","A","A","B","A","ISTJ","2025-03-14 18:43:23"
